date,headline,sentiment_textblob,sentiment_finbert,Close,Volume,MA5,MA20,RSI,price_change
2024-12-30,"Nvidia open-sources Run:ai, the software it acquired for $700M to help companies manage GPUs for AI",0.0,2.640742422954645e-05,137.49000549316406,167734700,,,,
2024-12-30,"Nvidia Open-Sources Run:ai, the Software It Acquired For $700 Million",0.0,2.26568772632163e-06,137.49000549316406,167734700,,,,0.0
2024-12-30,Nvidia closes $700 million Run:ai acquisition after regulatory hurdles,0.0,0.019250230863690376,137.49000549316406,167734700,,,,0.0
2024-12-31,Nvidia and Microsoft: Top Tech Picks as Wedbush Predicts 25% Rally in 2025,0.5,0.9997628331184387,134.2899932861328,155659200,,,,-2.32745078127905
2024-12-31,Intel Suffers Worst Year Since 1971 IPO,-0.8,7.29364255676046e-05,134.2899932861328,155659200,,,,0.0
2024-12-31,LG’s lightweight Gram laptops get new Intel chips and offline AI features,0.13636363636363635,0.012417828664183617,134.2899932861328,155659200,,,,0.0
2024-12-31,Why Nvidia’s (NVDA) China Revenue Is Guaranteed Despite Restrictions,0.0,0.003937415312975645,134.2899932861328,155659200,,,,0.0
2025-01-03,Nvidia Tops Semiconductor Rankings as Fund Managers Bet Big on AI-Led Growth,0.0,0.999998927116394,144.47000122070312,229322500,,,,7.580615417024927
2025-01-03,"CES 2025: The new tech we're expecting to see from Samsung, NVIDIA, LG and more in Las Vegas",0.3181818181818182,7.529163849540055e-05,144.47000122070312,229322500,,,,0.0
2025-01-03,AI: Why investors need to expand beyond Nvidia,0.0,0.001968769123777747,144.47000122070312,229322500,,,,0.0
2025-01-03,"Watch the NVIDIA CES 2025 press conference live: Monday, 9:30PM ET",0.13636363636363635,3.589953507798782e-07,144.47000122070312,229322500,,,,0.0
2025-01-06,"Nvidia bear, housing market stalemate: Asking for a Trend",0.0,6.8023423409613315e-06,149.42999267578125,265377400,,,,3.433232791007512
2025-01-06,AMD announces next-gen Radeon RX 9070-series GPUs with AI-powered FSR 4 upscaling,0.0,0.4758206605911255,149.42999267578125,265377400,,,,0.0
2025-01-06,Nvidia stock jumps 4% before CEO Jensen Huang's CES keynote,0.0,0.9395527839660645,149.42999267578125,265377400,,,,0.0
2025-01-06,"CES 2025: The press conferences and new tech we're expecting to see from Samsung, NVIDIA, LG and more",0.3181818181818182,2.6144000457861694e-06,149.42999267578125,265377400,,,,0.0
